restaurant_name,cuisines,avg_cost_for_two,has_table_booking,has_online_delivery,price_range,rating,votes
Desire Foods,Fast Food,250,False,False,1,2.9,4
Knight Rock,Multicuisine,500,False,False,2,2.8,16
Punjab Restaurant,North Indian,150,False,False,1,2.8,8
Raju Dhaba,North Indian,150,False,False,1,2.9,8
Rakheja Bakery,Cafe,100,False,False,1,2.8,7
Snax Points,Fast Food,300,False,False,1,3.0,4
Cafe And More,Fast Food,300,False,False,1,2.9,4
Green Chick Chop,Fast Food,350,False,False,1,3.0,7
Kolkata Hot Kathi Rolls,Fast Food,300,False,False,1,2.9,11
Kebab Xpress,North Indian,600,False,True,2,2.8,49
McDonald's,Fast Food,500,False,False,2,3.4,58
Suruchi,Multicuisine,700,False,False,2,3.4,233
Berco's,Multicuisine,1100,False,True,3,3.8,508
Dunkin' Donuts,Fast Food,600,False,True,2,3.6,98
The Chocolate Room,Cafe,900,False,True,2,3.6,59
KFC,Fast Food,500,False,True,2,2.1,57
Barbeque Nation,North Indian,1600,False,False,3,4.0,299
Yo! China,Chinese,1300,False,True,3,4.1,239
Giani's,Multicuisine,400,False,False,1,3.2,16
Momo-Cha,Fast Food,200,False,True,1,2.7,16
Shree Rathnam,Multicuisine,800,False,True,2,3.4,48
Mirage Restro Bar,North Indian,1000,True,False,3,2.4,25
Gelato Vinto,Multicuisine,250,False,False,1,2.8,12
Cakes 'n Bakes - Park Plaza,Cafe,1000,False,False,3,3.0,15
Cafe Bite,Cafe,500,False,False,2,3.2,19
Cafe Light,Fast Food,500,False,False,2,2.8,8
Momo-Cha,Multicuisine,450,False,False,1,2.8,20
Oregano India,Fast Food,500,False,False,2,3.1,11
Sagar Bakery,Cafe,150,False,False,1,3.0,11
Smugglers,North Indian,450,False,True,1,3.1,7
Welcome,Multicuisine,700,True,False,2,2.9,13
Chimney,Multicuisine,800,True,True,2,3.3,25
Chopstick,Chinese,300,False,False,1,3.0,22
Hot & Tasty Chinese Food,Multicuisine,450,False,False,1,2.6,26
Sanjha Chulha,North Indian,700,False,True,2,2.9,16
Frontier,Cafe,200,False,False,1,2.9,7
Oxy Lounge,Multicuisine,1500,True,True,3,3.1,28
Al Bake,Multicuisine,600,False,True,2,3.2,31
Anupam Sweet,Fast Food,400,False,False,1,3.4,70
Cafe Coffee Day,Cafe,450,False,False,1,3.3,67
Chicago Pizza,Fast Food,600,False,False,2,2.7,35
Crispy Crust,Fast Food,500,False,True,2,3.4,22
Frontier,Cafe,200,False,False,1,3.3,17
Gulab,Fast Food,600,False,True,2,2.6,39
Hunger Cure Express,Fast Food,500,False,False,2,3.3,35
Maitre Patissier,Cafe,500,False,False,2,3.4,35
Momo-Cha,Fast Food,400,False,False,1,2.7,32
Nirula's,Fast Food,950,False,False,2,2.6,14
The Grub House,Multicuisine,600,False,False,2,2.7,17
Twenty Four Seven,Fast Food,300,False,False,1,3.4,35
Cafe Parmesan,Italian,1000,False,False,3,4.5,799
Briosca,Fast Food,400,False,True,1,3.6,62
Burger Point,Fast Food,300,False,True,1,3.5,24
Cafe Grub Up,Multicuisine,900,True,False,2,3.8,134
Cakes At Bhawanas,Cafe,400,False,False,1,3.5,26
Chaudhary Bhojnalaya,North Indian,400,False,False,1,3.6,93
Chickenette,Fast Food,650,False,False,2,3.7,280
Giani,Multicuisine,400,False,False,1,3.6,70
Green Chick Chop,Fast Food,350,False,False,1,3.5,31
Hash Stix,Fast Food,250,False,False,1,3.6,25
Juice On Go,Beverages,150,False,False,1,3.5,18
Keventers,Beverages,400,False,False,1,3.6,27
MD's Kebabs & Curries,Multicuisine,750,False,True,2,3.8,27
Perfect Bake,Fast Food,400,False,False,1,3.5,39
Perfect Bake,Fast Food,400,False,False,1,3.6,126
Sethi's Delicacy,Fast Food,150,False,False,1,3.8,75
Subway,Fast Food,500,False,False,2,3.5,143
Caf�� Bogchi,Multicuisine,650,False,True,2,4.1,153
Ashoka Restaurant,North Indian,400,False,False,1,2.9,43
Baskin Robbins,Ice Cream,300,False,True,1,2.9,4
China Hot Pot,Fast Food,400,False,False,1,2.5,25
Handi Chhadeyan Di,North Indian,400,False,False,1,3.1,26
Hungrill,Multicuisine,500,False,False,2,3.0,4
Kant Khana Khazana,North Indian,250,False,False,1,3.4,22
Open Yard,Multicuisine,800,True,False,2,3.3,14
Recipe Badshah,North Indian,300,False,False,1,3.1,8
The Chai Cafe,Multicuisine,400,False,False,1,3.1,8
Eat N Treat,Multicuisine,400,False,False,1,2.8,20
Hotel Ekant,Multicuisine,700,False,False,2,2.7,39
Momo-Cha,Multicuisine,600,False,True,2,2.7,56
Paradise Inn,Multicuisine,500,False,False,2,2.7,43
Red Chilli,Chinese,300,False,False,1,2.8,9
Shiv Restaurant,North Indian,400,False,False,1,2.7,20
Sohan Sweets & Namkeen,Mithai,100,False,False,1,3.2,41
The Binge Box Cafe,Cafe,500,False,False,2,3.4,18
Tmos Moving Feast,Multicuisine,700,False,True,2,3.3,76
Parkash Dhaba,Multicuisine,200,False,False,1,3.0,6
Sanjha Chulha,North Indian,700,False,True,2,3.3,219
Hareram Bikanerzaika,Multicuisine,200,False,False,1,2.8,11
Kulcha Paaji,Street Food,100,False,False,1,3.1,12
Shree Bikaner Misthan Bhandar,Multicuisine,350,False,False,1,2.8,13
"The Hub - Gourmet, Bakers & More",Fast Food,200,False,False,1,3.0,7
Funk House Cafe,Multicuisine,650,False,True,2,2.6,15
Shiksha Fast Food,Fast Food,200,False,False,1,2.9,5
Lalit Kathi Rolls Momos,Fast Food,100,False,False,1,3.1,9
Butter & Grace,Fast Food,700,False,True,2,3.1,7
Green Chick Chop,Fast Food,350,False,False,1,3.1,9
Snacks Bar,Chinese,350,False,False,1,2.9,4
Anupama Sweets & Family Restaurant,Fast Food,400,False,True,1,2.7,28
Shree Rathnam,Multicuisine,800,False,False,2,2.7,29
Desi Tadka,Multicuisine,500,False,False,2,3.0,6
Destination Live,Multicuisine,500,True,False,2,3.3,12
Kay's Bake Land,Cafe,150,False,False,1,3.1,19
Kay's Food Land,Cafe,100,False,False,1,3.1,14
Laziz Restaurant,North Indian,600,False,False,2,2.8,11
Le Chef Restro Bar,Multicuisine,1000,True,False,3,2.7,70
Republic of Chicken,Fast Food,400,False,False,1,3.1,18
Tanishka Restaurant & Caterers,Multicuisine,300,False,False,1,2.9,14
The Tandoori Times,North Indian,500,False,False,2,2.7,48
Twist of Italy,Fast Food,350,False,False,1,3.6,52
Cravings,Multicuisine,500,False,False,2,3.0,4
Domino's Pizza,Fast Food,700,False,False,2,2.9,10
Green Chick Chop,Fast Food,350,False,False,1,3.1,5
Punjabi Culture,North Indian,500,False,False,2,2.9,4
Three Olives,Fast Food,550,False,False,2,2.9,4
Hunger Cure,Fast Food,700,False,False,2,3.2,47
Sanjha Chulha,North Indian,700,False,True,2,2.5,79
Queens Cakes,Cafe,200,False,False,1,3.5,29
Invitation Restaurant,Fast Food,500,False,True,2,2.7,17
Kaushik Bakery,Cafe,200,False,False,1,3.0,9
Rama Vaishnav Bhojnalaya,Multicuisine,250,False,False,1,3.0,7
Shiv Saras Vyanjan,Mithai,100,False,False,1,2.9,5
Shree Bikaner Misthan Bhandar,Multicuisine,300,False,False,1,3.0,8
Shree Bikaner Misthan Bhandar,Multicuisine,150,False,False,1,3.1,15
Standard Family Restaurant,North Indian,450,False,False,1,2.9,16
The Hunger End,Multicuisine,500,False,False,2,3.0,4
Anupam Sweets & Restaurant,Fast Food,450,False,True,1,3.0,10
Caramel,Multicuisine,600,False,False,2,2.9,9
Chaska Restaurant,Multicuisine,650,False,False,2,3.2,24
Club Pizzeria,Italian,550,False,True,2,3.4,19
Gupha,Multicuisine,500,False,False,2,2.9,8
Indian Gourmet,Multicuisine,450,False,False,1,3.0,8
Tandoori Zaaika's,Multicuisine,500,False,True,2,3.2,39
TCD Cake & Bake,Fast Food,300,False,False,1,3.1,10
The Grill Darbar,Multicuisine,500,False,False,2,3.3,17
Urban Cuisine,Multicuisine,500,False,True,2,3.4,37
Mister Mughal,North Indian,600,False,True,2,3.5,33
The Hub,Fast Food,200,False,False,1,3.1,9
Aggarwal Sweets Centre,Multicuisine,100,False,False,1,2.9,4
Bawarchi,Multicuisine,550,False,False,2,3.0,14
D ART of Flavour,Multicuisine,500,False,False,2,2.8,13
Italia Cafe by Aura,Fast Food,400,False,False,1,2.8,5
Pizza Street,Fast Food,550,False,True,2,2.6,12
Rock Cafe,Multicuisine,550,False,False,2,3.0,8
Sardaar Ji Chaap & Rolls,North Indian,300,False,False,1,3.1,7
Spice Wok,Multicuisine,600,False,False,2,3.1,18
Vrindavan Sweets & Restaurant,Fast Food,350,False,False,1,3.0,22
Yummy Cake,Cafe,400,False,False,1,3.0,4
Bakers Delight - The Atrium,Cafe,700,False,False,2,3.0,10
On The Rocks - The  Atrium,Finger Food,1400,True,False,3,3.1,18
World Cafe - Vibe by The LaLiT Traveller,Multicuisine,1900,True,False,3,3.3,56
Chaudhary Ke Mashhoor Paranthe,North Indian,150,False,False,1,2.8,14
Thakur Bakers,Cafe,150,False,False,1,3.0,6
FoodByMom,North Indian,300,False,True,1,3.6,161
Mr. Brown,Fast Food,500,False,True,2,3.9,52
9 Mars Lounge,Multicuisine,2500,True,False,4,2.5,184
Barista,Cafe,650,False,True,2,3.4,33
Baskin Robbins,Ice Cream,300,False,True,1,3.3,27
Burger King,Fast Food,500,False,True,2,3.4,327
Cafe Coffee Day,Cafe,450,False,False,1,3.2,63
Chinese X'Press,Chinese,600,False,False,2,2.9,16
Cinch,Multicuisine,1500,True,False,3,2.6,92
Costa Coffee,Cafe,600,False,False,2,3.3,60
Domino's Pizza,Fast Food,700,False,False,2,3.2,17
Dosa X'press,South Indian,500,False,False,2,3.0,6
Kebab Xpress,North Indian,600,False,False,2,2.7,14
